rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
75,frame_0287.jpg,114.8,0.5001,0.5282,0.3333,0.68,6,2,False,False
76,frame_0378.jpg,151.2,0.4985,0.4651,0.8333,0.08,7,5,False,False
77,frame_0027.jpg,10.8,0.4976,0.3952,0.3333,1.0,2,2,False,False
78,frame_0367.jpg,146.8,0.4964,0.5607,0.6667,0.08,8,4,False,False
79,frame_0087.jpg,34.8,0.4872,0.4825,0.5,0.48,3,3,False,False
80,frame_0278.jpg,111.2,0.4857,0.5435,0.5,0.32,7,3,False,False
81,frame_0293.jpg,117.2,0.4846,0.3651,0.5,0.76,6,3,False,False
82,frame_0133.jpg,53.2,0.48,0.3601,0.3333,1.0,4,2,False,False
83,frame_0084.jpg,33.6,0.479,0.5181,0.3333,0.6,2,2,False,False
84,frame_0304.jpg,121.6,0.4773,0.5265,0.5,0.32,5,3,False,False
85,frame_0277.jpg,110.8,0.477,0.4419,0.6667,0.28,8,4,False,False
86,frame_0374.jpg,149.6,0.476,0.472,0.6667,0.2,6,4,False,False
87,frame_0297.jpg,118.8,0.4727,0.4054,0.5,0.6,5,3,False,False
88,frame_0105.jpg,42.0,0.4721,0.4123,0.8333,0.08,6,5,False,False
89,frame_0067.jpg,26.8,0.4711,0.3423,0.3333,1.0,5,2,False,False
90,frame_0288.jpg,115.2,0.4696,0.4512,0.3333,0.72,5,2,False,False
91,frame_0175.jpg,70.0,0.4693,0.5267,0.5,0.28,4,3,False,False
92,frame_0320.jpg,128.0,0.4693,0.4426,0.6667,0.24,6,4,False,False
93,frame_0225.jpg,90.0,0.468,0.504,0.6667,0.08,5,4,False,False
94,frame_0216.jpg,86.4,0.4676,0.5593,0.3333,0.44,3,2,False,False
95,frame_0282.jpg,112.8,0.4667,0.6414,0.1667,0.48,2,1,False,False
96,frame_0009.jpg,3.6,0.4615,0.3231,0.3333,1.0,2,2,False,False
97,frame_0308.jpg,123.2,0.4595,0.455,0.6667,0.16,6,4,False,False
98,frame_0018.jpg,7.2,0.4575,0.315,0.3333,1.0,4,2,False,False
99,frame_0069.jpg,27.6,0.4556,0.3112,0.3333,1.0,6,2,False,False
100,frame_0113.jpg,45.2,0.4528,0.4096,0.6667,0.24,5,4,False,False
101,frame_0330.jpg,132.0,0.4512,0.4864,0.6667,0.04,7,4,False,False
102,frame_0307.jpg,122.8,0.4505,0.521,0.5,0.2,8,3,False,False
103,frame_0318.jpg,127.2,0.4503,0.5046,0.5,0.24,7,3,False,False
104,frame_0314.jpg,125.6,0.4497,0.5675,0.5,0.08,4,3,False,False
105,frame_0112.jpg,44.8,0.4487,0.6174,0.3333,0.2,3,2,False,False
106,frame_0303.jpg,121.2,0.4485,0.453,0.5,0.36,4,3,False,False
107,frame_0176.jpg,70.4,0.4484,0.4008,0.6667,0.24,6,4,False,False
108,frame_0193.jpg,77.2,0.4472,0.3984,0.6667,0.24,6,4,False,False
109,frame_0124.jpg,49.6,0.4463,0.4206,0.3333,0.68,6,2,False,False
110,frame_0290.jpg,116.0,0.4461,0.4721,0.1667,0.8,4,1,False,False
111,frame_0274.jpg,109.6,0.446,0.428,0.6667,0.16,6,4,False,False
112,frame_0014.jpg,5.6,0.4457,0.2915,0.3333,1.0,4,2,False,False
113,frame_0026.jpg,10.4,0.4454,0.3907,0.1667,1.0,2,1,False,False
114,frame_0194.jpg,77.6,0.4444,0.5768,0.3333,0.28,4,2,False,False
115,frame_0224.jpg,89.6,0.4419,0.6358,0.3333,0.12,4,2,False,False
116,frame_0232.jpg,92.8,0.4407,0.4014,0.6667,0.2,6,4,False,False
117,frame_0231.jpg,92.4,0.4406,0.4172,0.6667,0.16,7,4,False,False
118,frame_0207.jpg,82.8,0.4363,0.3526,0.3333,0.8,2,2,False,False
119,frame_0317.jpg,126.8,0.4338,0.4876,0.5,0.2,5,3,False,False
120,frame_0321.jpg,128.4,0.4325,0.385,0.6667,0.2,7,4,False,False
121,frame_0021.jpg,8.4,0.4295,0.259,0.3333,1.0,5,2,False,False
122,frame_0208.jpg,83.2,0.4265,0.349,0.3333,0.76,3,2,False,False
123,frame_0390.jpg,156.0,0.4253,0.4186,0.6667,0.08,7,4,False,False
124,frame_0116.jpg,46.4,0.425,0.4061,0.5,0.36,8,3,False,False
125,frame_0302.jpg,120.8,0.4227,0.3854,0.5,0.4,5,3,False,False
126,frame_0333.jpg,133.2,0.4218,0.5116,0.5,0.08,8,3,False,False
