rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
53,frame_0311.jpg,124.4,0.8183,0.8366,0.6667,1.0,33,12,False,False
54,frame_0324.jpg,129.6,0.8181,0.9363,0.5,1.0,37,9,False,False
55,frame_0097.jpg,38.8,0.818,0.9027,0.5556,1.0,29,10,False,False
56,frame_0390.jpg,156.0,0.8159,0.9319,0.5,1.0,32,9,False,False
57,frame_0108.jpg,43.2,0.8142,0.8617,0.6111,1.0,33,11,False,False
58,frame_0393.jpg,157.2,0.8141,0.8281,0.6667,1.0,26,12,False,False
59,frame_0183.jpg,73.2,0.8137,0.8941,0.5556,1.0,28,10,False,False
60,frame_0272.jpg,108.8,0.8127,0.892,0.5556,1.0,21,10,False,False
61,frame_0277.jpg,110.8,0.8127,0.8921,0.5556,1.0,20,10,False,False
62,frame_0101.jpg,40.4,0.8125,0.825,0.6667,1.0,29,12,False,False
63,frame_0174.jpg,69.6,0.8119,0.8572,0.6111,1.0,26,11,False,False
64,frame_0181.jpg,72.4,0.8096,0.8525,0.6111,1.0,32,11,False,False
65,frame_0190.jpg,76.0,0.8095,0.8524,0.6111,1.0,33,11,False,False
66,frame_0067.jpg,26.8,0.8094,0.8855,0.5556,1.0,35,10,False,False
67,frame_0367.jpg,146.8,0.8088,0.8176,0.6667,1.0,40,12,False,False
68,frame_0275.jpg,110.0,0.8087,0.9174,0.5,1.0,25,9,False,False
69,frame_0116.jpg,46.4,0.8061,0.8788,0.5556,1.0,33,10,False,False
70,frame_0178.jpg,71.2,0.8045,0.8756,0.5556,1.0,28,10,False,False
71,frame_0093.jpg,37.2,0.803,0.8726,0.5556,1.0,27,10,False,False
72,frame_0072.jpg,28.8,0.8022,0.771,0.7222,1.0,33,13,False,False
73,frame_0233.jpg,93.2,0.8,0.8666,0.5556,1.0,39,10,False,False
74,frame_0307.jpg,122.8,0.7978,0.829,0.6111,1.0,28,11,False,False
75,frame_0173.jpg,69.2,0.7969,0.7938,0.6667,1.0,27,12,False,False
76,frame_0226.jpg,90.4,0.7961,0.8589,0.5556,1.0,34,10,False,False
77,frame_0382.jpg,152.8,0.7952,0.9238,0.4444,1.0,39,8,False,False
78,frame_0110.jpg,44.0,0.7936,0.7872,0.6667,1.0,27,12,False,False
79,frame_0303.jpg,121.2,0.7935,0.8536,0.5556,1.0,26,10,False,False
80,frame_0068.jpg,27.2,0.7926,0.7851,0.6667,1.0,41,12,False,False
81,frame_0007.jpg,2.8,0.7921,0.8176,0.6111,1.0,22,11,False,False
82,frame_0087.jpg,34.8,0.7921,0.8843,0.5,1.0,25,9,False,False
83,frame_0184.jpg,73.6,0.7916,0.8499,0.5556,1.0,35,10,False,False
84,frame_0386.jpg,154.4,0.7916,0.8832,0.5,1.0,36,9,False,False
85,frame_0074.jpg,29.6,0.7909,0.8817,0.5,1.0,25,9,False,False
86,frame_0125.jpg,50.0,0.7903,0.9139,0.4444,1.0,31,8,False,False
87,frame_0130.jpg,52.0,0.79,0.8466,0.5556,1.0,27,10,False,False
88,frame_0212.jpg,84.8,0.7887,0.8108,0.6111,1.0,31,11,False,False
89,frame_0122.jpg,48.8,0.7876,0.9085,0.4444,1.0,33,8,False,False
90,frame_0102.jpg,40.8,0.7874,0.7081,0.7778,1.0,30,14,False,False
91,frame_0287.jpg,114.8,0.7871,0.8742,0.5,1.0,25,9,False,False
92,frame_0000.jpg,0.0,0.787,0.9074,0.4444,1.0,24,8,False,False
93,frame_0230.jpg,92.0,0.7865,0.8063,0.6111,1.0,37,11,False,False
94,frame_0385.jpg,154.0,0.7862,0.7723,0.6667,1.0,35,12,False,False
95,frame_0069.jpg,27.6,0.7859,0.9052,0.4444,1.0,28,8,False,False
96,frame_0079.jpg,31.6,0.7851,0.8036,0.6111,1.0,22,11,False,False
97,frame_0228.jpg,91.2,0.7851,0.8035,0.6111,1.0,31,11,False,False
98,frame_0185.jpg,74.0,0.7845,0.8357,0.5556,1.0,33,10,False,False
99,frame_0391.jpg,156.4,0.7841,0.8682,0.5,1.0,29,9,False,False
100,frame_0387.jpg,154.8,0.784,0.9346,0.3889,1.0,35,7,False,False
101,frame_0398.jpg,159.2,0.7833,0.8332,0.5556,1.0,26,10,False,False
102,frame_0124.jpg,49.6,0.7829,0.8658,0.5,1.0,32,9,False,False
103,frame_0276.jpg,110.4,0.7824,0.8647,0.5,1.0,26,9,False,False
104,frame_0030.jpg,12.0,0.7823,0.8646,0.5,1.0,26,9,False,False
105,frame_0078.jpg,31.2,0.7817,0.7967,0.6111,1.0,25,11,False,False
106,frame_0071.jpg,28.4,0.7785,0.857,0.5,1.0,24,9,False,False
107,frame_0320.jpg,128.0,0.7781,0.9229,0.3889,1.0,25,7,False,False
108,frame_0231.jpg,92.4,0.778,0.8227,0.5556,1.0,33,10,False,False
109,frame_0168.jpg,67.2,0.7779,0.8892,0.4444,1.0,27,8,False,False
110,frame_0305.jpg,122.0,0.7762,0.8524,0.5,1.0,21,9,False,False
111,frame_0117.jpg,46.8,0.7754,0.9509,0.3333,1.0,25,6,False,False
112,frame_0323.jpg,129.2,0.7754,0.8842,0.4444,1.0,33,8,False,False
113,frame_0219.jpg,87.6,0.7753,0.7506,0.6667,1.0,35,12,False,False
114,frame_0217.jpg,86.8,0.7749,0.8497,0.5,1.0,29,9,False,False
115,frame_0223.jpg,89.2,0.7747,0.916,0.3889,1.0,38,7,False,False
116,frame_0370.jpg,148.0,0.7741,0.8148,0.5556,1.0,37,10,False,False
117,frame_0177.jpg,70.8,0.7737,0.8808,0.4444,1.0,28,8,False,False
118,frame_0269.jpg,107.6,0.7733,0.7465,0.6667,1.0,33,12,False,False
119,frame_0220.jpg,88.0,0.7724,0.7447,0.6667,1.0,36,12,False,False
120,frame_0094.jpg,37.6,0.7717,0.8434,0.5,1.0,21,9,False,False
121,frame_0193.jpg,77.2,0.7712,0.809,0.5556,1.0,28,10,False,False
122,frame_0373.jpg,149.2,0.7688,0.8375,0.5,1.0,35,9,False,False
123,frame_0224.jpg,89.6,0.7684,0.8701,0.4444,1.0,33,8,False,False
124,frame_0111.jpg,44.4,0.7678,0.8356,0.5,1.0,29,9,False,False
125,frame_0109.jpg,43.6,0.7676,0.8686,0.4444,1.0,32,8,False,False
126,frame_0121.jpg,48.4,0.7676,0.8352,0.5,1.0,31,9,False,False
127,frame_0083.jpg,33.2,0.7662,0.8657,0.4444,1.0,15,8,False,False
128,frame_0128.jpg,51.2,0.7662,0.8324,0.5,1.0,28,9,False,False
129,frame_0073.jpg,29.2,0.766,0.832,0.5,1.0,31,9,False,False
130,frame_0021.jpg,8.4,0.7658,0.865,0.4444,1.0,22,8,False,False
131,frame_0100.jpg,40.0,0.7655,0.8976,0.3889,1.0,22,7,False,False
132,frame_0096.jpg,38.4,0.7639,0.8612,0.4444,1.0,28,8,False,False
133,frame_0075.jpg,30.0,0.7627,0.8588,0.4444,1.0,27,8,False,False
134,frame_0316.jpg,126.4,0.7626,0.8919,0.3889,1.0,30,7,False,False
135,frame_0280.jpg,112.0,0.7625,0.8584,0.4444,1.0,20,8,False,False
136,frame_0186.jpg,74.4,0.7614,0.7895,0.5556,1.0,33,10,False,False
137,frame_0327.jpg,130.8,0.7599,0.7532,0.6111,1.0,40,11,False,False
138,frame_0300.jpg,120.0,0.7598,0.853,0.4444,1.0,28,8,False,False
139,frame_0001.jpg,0.4,0.7587,0.8841,0.3889,1.0,26,7,False,False
140,frame_0377.jpg,150.8,0.7586,0.8172,0.5,1.0,29,9,False,False
141,frame_0006.jpg,2.4,0.7563,0.8792,0.3889,1.0,17,7,False,False
142,frame_0317.jpg,126.8,0.7532,0.873,0.3889,1.0,31,7,False,False
143,frame_0171.jpg,68.4,0.7531,0.7728,0.5556,1.0,27,10,False,False
144,frame_0025.jpg,10.0,0.7522,0.8043,0.5,1.0,23,9,False,False
145,frame_0023.jpg,9.2,0.7516,0.8033,0.5,1.0,18,9,False,False
146,frame_0172.jpg,68.8,0.7516,0.8365,0.4444,1.0,32,8,False,False
147,frame_0318.jpg,127.2,0.7512,0.8358,0.4444,1.0,22,8,False,False
148,frame_0126.jpg,50.4,0.7511,0.8688,0.3889,1.0,26,7,False,False
149,frame_0281.jpg,112.4,0.7507,0.868,0.3889,1.0,15,7,False,False
150,frame_0194.jpg,77.6,0.7505,0.8343,0.4444,1.0,26,8,False,False
151,frame_0207.jpg,82.8,0.7493,0.832,0.4444,1.0,22,8,False,False
152,frame_0399.jpg,159.6,0.749,0.798,0.5,1.0,26,9,False,False
153,frame_0278.jpg,111.2,0.7487,0.8975,0.3333,1.0,20,6,False,False
154,frame_0189.jpg,75.6,0.7479,0.8291,0.4444,1.0,24,8,False,False
155,frame_0375.jpg,150.0,0.7479,0.8958,0.3333,1.0,29,6,False,False
156,frame_0123.jpg,49.2,0.7476,0.7952,0.5,1.0,30,9,False,False
157,frame_0388.jpg,155.2,0.7469,0.8605,0.3889,1.0,25,7,False,False
158,frame_0004.jpg,1.6,0.7468,0.8603,0.3889,1.0,21,7,False,False
159,frame_0325.jpg,130.0,0.7467,0.7934,0.5,1.0,30,9,False,False
160,frame_0291.jpg,116.4,0.7465,0.8597,0.3889,1.0,29,7,False,False
161,frame_0381.jpg,152.4,0.7459,0.8584,0.3889,1.0,32,7,False,False
162,frame_0086.jpg,34.4,0.7453,0.8906,0.3333,1.0,21,6,False,False
163,frame_0104.jpg,41.6,0.7451,0.8569,0.3889,1.0,26,7,False,False
164,frame_0003.jpg,1.2,0.7449,0.7898,0.5,1.0,23,9,False,False
165,frame_0080.jpg,32.0,0.7447,0.8227,0.4444,1.0,29,8,False,False
166,frame_0394.jpg,157.6,0.7437,0.854,0.3889,1.0,35,7,False,False
167,frame_0333.jpg,133.2,0.7436,0.7538,0.5556,1.0,42,10,False,False
168,frame_0379.jpg,151.6,0.7436,0.8206,0.4444,1.0,39,8,False,False
169,frame_0016.jpg,6.4,0.7428,0.819,0.4444,1.0,15,8,False,False
170,frame_0213.jpg,85.2,0.7427,0.7521,0.5556,1.0,30,10,False,False
171,frame_0216.jpg,86.4,0.7426,0.8853,0.3333,1.0,24,6,False,False
172,frame_0201.jpg,80.4,0.7383,0.7433,0.5556,1.0,18,10,False,False
173,frame_0131.jpg,52.4,0.7377,0.8754,0.3333,1.0,26,6,False,False
174,frame_0119.jpg,47.6,0.7375,0.8417,0.3889,1.0,28,7,False,False
175,frame_0306.jpg,122.4,0.7372,0.8745,0.3333,1.0,29,6,False,False
176,frame_0022.jpg,8.8,0.7361,0.7721,0.5,1.0,21,9,False,False
177,frame_0176.jpg,70.4,0.736,0.872,0.3333,1.0,27,6,False,False
178,frame_0076.jpg,30.4,0.7359,0.8051,0.4444,1.0,24,8,False,False
179,frame_0191.jpg,76.4,0.7359,0.6384,0.7222,1.0,28,13,False,False
180,frame_0179.jpg,71.6,0.735,0.87,0.3333,1.0,28,6,False,False
181,frame_0175.jpg,70.0,0.7336,0.8673,0.3333,1.0,25,6,False,False
182,frame_0010.jpg,4.0,0.7325,0.8316,0.3889,1.0,16,7,False,False
183,frame_0206.jpg,82.4,0.7307,0.7947,0.4444,1.0,22,8,False,False
184,frame_0376.jpg,150.4,0.7304,0.6942,0.6111,1.0,22,11,False,False
185,frame_0081.jpg,32.4,0.7292,0.7917,0.4444,1.0,28,8,False,False
186,frame_0315.jpg,126.0,0.7252,0.817,0.3889,1.0,29,7,False,False
187,frame_0009.jpg,3.6,0.7244,0.7154,0.5556,1.0,18,10,False,False
188,frame_0273.jpg,109.2,0.7226,0.7785,0.4444,1.0,28,8,False,False
189,frame_0290.jpg,116.0,0.7225,0.7449,0.5,1.0,18,9,False,False
190,frame_0120.jpg,48.0,0.7215,0.7763,0.4444,1.0,27,8,False,False
191,frame_0027.jpg,10.8,0.7203,0.774,0.4444,1.0,31,8,False,False
192,frame_0198.jpg,79.2,0.7203,0.8073,0.3889,1.0,23,7,False,False
193,frame_0169.jpg,67.6,0.7201,0.7736,0.4444,1.0,27,8,False,False
194,frame_0017.jpg,6.8,0.72,0.9066,0.2222,1.0,17,4,False,False
195,frame_0028.jpg,11.2,0.7193,0.8053,0.3889,1.0,28,7,False,False
196,frame_0389.jpg,155.6,0.7192,0.8385,0.3333,1.0,30,6,False,False
197,frame_0070.jpg,28.0,0.7189,0.8712,0.2778,1.0,28,5,False,False
198,frame_0199.jpg,79.6,0.7171,0.7676,0.4444,1.0,17,8,False,False
199,frame_0129.jpg,51.6,0.7169,0.7338,0.5,1.0,33,9,False,False
200,frame_0378.jpg,151.2,0.7151,0.7968,0.3889,1.0,41,7,False,False
201,frame_0209.jpg,83.6,0.7144,0.7622,0.4444,1.0,26,8,False,False
202,frame_0222.jpg,88.8,0.7139,0.7944,0.3889,1.0,34,7,False,False
203,frame_0008.jpg,3.2,0.7136,0.7606,0.4444,1.0,19,8,False,False
204,frame_0084.jpg,33.6,0.711,0.7553,0.4444,1.0,25,8,False,False
205,frame_0279.jpg,111.6,0.711,0.722,0.5,1.0,21,9,False,False
206,frame_0170.jpg,68.0,0.7109,0.8552,0.2778,1.0,30,5,False,False
207,frame_0319.jpg,127.6,0.7098,0.8529,0.2778,1.0,30,5,False,False
208,frame_0294.jpg,117.6,0.7097,0.786,0.3889,1.0,16,7,False,False
209,frame_0282.jpg,112.8,0.7096,0.8193,0.3333,1.0,18,6,False,False
210,frame_0013.jpg,5.2,0.7094,0.7189,0.5,1.0,20,9,False,False
211,frame_0029.jpg,11.6,0.7081,0.8163,0.3333,1.0,30,6,False,False
212,frame_0208.jpg,83.2,0.7067,0.8134,0.3333,1.0,21,6,False,False
213,frame_0105.jpg,42.0,0.7046,0.8425,0.2778,1.0,29,5,False,False
214,frame_0205.jpg,82.0,0.7031,0.7729,0.3889,1.0,20,7,False,False
215,frame_0322.jpg,128.8,0.7021,0.8042,0.3333,1.0,28,6,False,False
216,frame_0285.jpg,114.0,0.7018,0.8703,0.2222,1.0,18,4,False,False
217,frame_0203.jpg,81.2,0.7017,0.7368,0.4444,1.0,25,8,False,False
218,frame_0301.jpg,120.4,0.7001,0.7336,0.4444,1.0,26,8,False,False
219,frame_0321.jpg,128.4,0.6995,0.7656,0.3889,1.0,25,7,False,False
220,frame_0015.jpg,6.0,0.6985,0.797,0.3333,1.0,16,6,False,False
221,frame_0215.jpg,86.0,0.697,0.7607,0.3889,1.0,22,7,False,False
222,frame_0286.jpg,114.4,0.6961,0.8256,0.2778,1.0,23,5,False,False
223,frame_0082.jpg,32.8,0.6956,0.8578,0.2222,1.0,24,4,False,False
224,frame_0304.jpg,121.6,0.6953,0.7907,0.3333,1.0,19,6,False,False
225,frame_0089.jpg,35.6,0.6945,0.789,0.3333,1.0,24,6,False,False
226,frame_0293.jpg,117.2,0.6929,0.7859,0.3333,1.0,15,6,False,False
227,frame_0196.jpg,78.4,0.6924,0.7848,0.3333,1.0,21,6,False,False
228,frame_0012.jpg,4.8,0.6914,0.7162,0.4444,1.0,24,8,False,False
229,frame_0019.jpg,7.6,0.6897,0.746,0.3889,1.0,22,7,False,False
230,frame_0011.jpg,4.4,0.6894,0.7454,0.3889,1.0,18,7,False,False
231,frame_0118.jpg,47.2,0.6894,0.6789,0.5,1.0,31,9,False,False
232,frame_0211.jpg,84.4,0.6875,0.8084,0.2778,1.0,24,5,False,False
233,frame_0192.jpg,76.8,0.6874,0.7081,0.4444,1.0,21,8,False,False
234,frame_0295.jpg,118.0,0.6872,0.8744,0.1667,1.0,16,3,False,False
235,frame_0299.jpg,119.6,0.6869,0.7404,0.3889,1.0,17,7,False,False
236,frame_0288.jpg,115.2,0.685,0.8034,0.2778,1.0,24,5,False,False
237,frame_0302.jpg,120.8,0.685,0.67,0.5,1.0,18,9,False,False
238,frame_0395.jpg,158.0,0.6827,0.832,0.2222,1.0,30,4,False,False
239,frame_0210.jpg,84.0,0.6823,0.7312,0.3889,1.0,24,7,False,False
240,frame_0308.jpg,123.2,0.6813,0.7627,0.3333,1.0,34,6,False,False
241,frame_0018.jpg,7.2,0.6808,0.6949,0.4444,1.0,20,8,False,False
242,frame_0077.jpg,30.8,0.6801,0.7603,0.3333,1.0,23,6,False,False
243,frame_0214.jpg,85.6,0.6793,0.8252,0.2222,1.0,27,4,False,False
244,frame_0088.jpg,35.2,0.6772,0.7544,0.3333,1.0,24,6,False,False
245,frame_0268.jpg,107.2,0.6771,0.7876,0.2778,1.0,25,5,False,False
246,frame_0296.jpg,118.4,0.6741,0.8148,0.2222,1.0,19,4,False,False
247,frame_0396.jpg,158.4,0.6732,0.8131,0.2222,1.0,32,4,False,False
248,frame_0005.jpg,2.0,0.6731,0.7795,0.2778,1.0,25,5,False,False
249,frame_0297.jpg,118.8,0.671,0.7754,0.2778,1.0,14,5,False,False
250,frame_0167.jpg,66.8,0.6706,0.7746,0.2778,1.0,33,5,False,False
251,frame_0090.jpg,36.0,0.67,0.7066,0.3889,1.0,24,7,False,False
252,frame_0091.jpg,36.4,0.6692,0.7385,0.3333,1.0,27,6,False,False
253,frame_0031.jpg,12.4,0.6682,0.7698,0.2778,1.0,30,5,False,False
254,frame_0298.jpg,119.2,0.6659,0.7652,0.2778,1.0,21,5,False,False
255,frame_0283.jpg,113.2,0.6606,0.7213,0.3333,1.0,19,6,False,False
256,frame_0024.jpg,9.6,0.6602,0.687,0.3889,1.0,22,7,False,False
257,frame_0397.jpg,158.8,0.6597,0.7528,0.2778,1.0,24,5,False,False
258,frame_0202.jpg,80.8,0.6496,0.6992,0.3333,1.0,16,6,False,False
259,frame_0197.jpg,78.8,0.6494,0.7655,0.2222,1.0,15,4,False,False
260,frame_0284.jpg,113.6,0.6482,0.863,0.0556,1.0,14,1,False,False
261,frame_0267.jpg,106.8,0.642,0.6507,0.3889,1.0,24,7,False,False
262,frame_0289.jpg,115.6,0.6405,0.8143,0.1111,1.0,19,2,False,False
263,frame_0292.jpg,116.8,0.6353,0.6373,0.3889,1.0,21,7,False,False
264,frame_0204.jpg,81.6,0.6291,0.7582,0.1667,1.0,19,3,False,False
265,frame_0014.jpg,5.6,0.614,0.6946,0.2222,1.0,20,4,False,False
266,frame_0221.jpg,88.4,0.6085,0.7503,0.1111,1.0,31,2,False,False
267,frame_0200.jpg,80.0,0.5866,0.6398,0.2222,1.0,23,4,False,False
268,frame_0195.jpg,78.0,0.5721,0.6442,0.1667,1.0,20,3,False,False
