rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0182.jpg,72.8,0.9591,0.9182,1.0,1.0,28,18,False,True
2,frame_0369.jpg,147.6,0.9324,0.9315,0.8889,1.0,43,16,False,True
3,frame_0380.jpg,152.0,0.917,0.934,0.8333,1.0,40,15,False,True
4,frame_0326.jpg,130.4,0.9155,0.931,0.8333,1.0,39,15,False,True
5,frame_0331.jpg,132.4,0.9154,0.8308,1.0,1.0,47,18,False,True
6,frame_0372.jpg,148.8,0.9101,0.9202,0.8333,1.0,42,15,False,False
7,frame_0312.jpg,124.8,0.91,0.8199,1.0,1.0,37,18,False,True
8,frame_0099.jpg,39.6,0.9063,0.946,0.7778,1.0,29,14,False,True
9,frame_0368.jpg,147.2,0.9003,0.9339,0.7778,1.0,33,14,False,False
10,frame_0187.jpg,74.8,0.8995,0.8324,0.9444,1.0,39,17,False,True
11,frame_0227.jpg,90.8,0.8915,0.9164,0.7778,1.0,37,14,False,True
12,frame_0330.jpg,132.0,0.8899,0.8465,0.8889,1.0,53,16,False,False
13,frame_0270.jpg,108.0,0.8878,0.9089,0.7778,1.0,35,14,False,True
14,frame_0107.jpg,42.8,0.8876,0.8752,0.8333,1.0,33,15,False,True
15,frame_0392.jpg,156.8,0.8874,0.9747,0.6667,1.0,35,12,False,True
16,frame_0271.jpg,108.4,0.8675,0.835,0.8333,1.0,37,15,False,False
17,frame_0218.jpg,87.2,0.8669,0.8671,0.7778,1.0,33,14,False,False
18,frame_0002.jpg,0.8,0.8658,0.8983,0.7222,1.0,27,13,False,False
19,frame_0114.jpg,45.6,0.8625,0.8917,0.7222,1.0,30,13,False,False
20,frame_0374.jpg,149.6,0.8624,0.9247,0.6667,1.0,34,12,False,False
21,frame_0112.jpg,44.8,0.8612,0.9224,0.6667,1.0,30,12,False,False
22,frame_0310.jpg,124.0,0.8601,0.9201,0.6667,1.0,40,12,False,False
23,frame_0229.jpg,91.6,0.8551,0.9102,0.6667,1.0,27,12,False,False
24,frame_0180.jpg,72.0,0.8539,0.9745,0.5556,1.0,31,10,False,False
25,frame_0329.jpg,131.6,0.8523,0.8712,0.7222,1.0,47,13,False,False
26,frame_0328.jpg,131.2,0.8491,0.9316,0.6111,1.0,39,11,False,False
27,frame_0383.jpg,153.2,0.8482,0.863,0.7222,1.0,32,13,False,False
28,frame_0098.jpg,39.2,0.8474,0.9281,0.6111,1.0,31,11,False,False
29,frame_0020.jpg,8.0,0.8451,0.8902,0.6667,1.0,24,12,False,False
30,frame_0133.jpg,53.2,0.8448,0.8896,0.6667,1.0,31,12,False,False
31,frame_0313.jpg,125.2,0.8433,0.92,0.6111,1.0,28,11,False,False
32,frame_0085.jpg,34.0,0.8414,0.8495,0.7222,1.0,24,13,False,False
33,frame_0106.jpg,42.4,0.8394,0.8787,0.6667,1.0,31,12,False,False
34,frame_0115.jpg,46.0,0.8366,0.8399,0.7222,1.0,30,13,False,False
35,frame_0384.jpg,153.6,0.8365,0.8397,0.7222,1.0,35,13,False,False
36,frame_0314.jpg,125.6,0.8357,0.9048,0.6111,1.0,38,11,False,False
37,frame_0232.jpg,92.8,0.8339,0.8677,0.6667,1.0,43,12,False,False
38,frame_0274.jpg,109.6,0.8317,0.93,0.5556,1.0,24,10,False,False
39,frame_0092.jpg,36.8,0.8297,0.8927,0.6111,1.0,30,11,False,False
40,frame_0103.jpg,41.2,0.8296,0.8926,0.6111,1.0,27,11,False,False
41,frame_0132.jpg,52.8,0.8296,0.9258,0.5556,1.0,30,10,False,False
42,frame_0188.jpg,75.2,0.8288,0.791,0.7778,1.0,39,14,False,False
43,frame_0113.jpg,45.2,0.8285,0.857,0.6667,1.0,33,12,False,False
44,frame_0225.jpg,90.0,0.8276,0.9553,0.5,1.0,35,9,False,False
45,frame_0371.jpg,148.4,0.8271,0.8542,0.6667,1.0,34,12,False,False
46,frame_0127.jpg,50.8,0.8262,0.8858,0.6111,1.0,28,11,False,False
47,frame_0095.jpg,38.0,0.8239,0.9145,0.5556,1.0,25,10,False,False
48,frame_0026.jpg,10.4,0.8215,0.7763,0.7778,1.0,31,14,False,False
49,frame_0309.jpg,123.6,0.8211,0.8756,0.6111,1.0,31,11,False,False
50,frame_0032.jpg,12.8,0.8203,0.874,0.6111,1.0,31,11,False,False
51,frame_0332.jpg,132.8,0.8203,0.7739,0.7778,1.0,43,14,False,False
52,frame_0033.jpg,13.2,0.8201,0.8401,0.6667,1.0,35,12,False,False
